code,numeric_code,our_name,yahoo_name,similarity,category,normalized_ours,normalized_yahoo
1TECH,03041,"Onetech Solutions Holdings Berhad","1TECH",19,MISMATCH,"ONETECH SOLUTIONS BHD","1TECH"
3A,0012,"Three-A Resources Berhad","3A",5,MISMATCH,"THREE A RESOURCES BHD","3A"
3REN,0328,"3REN Berhad","3REN",50,MISMATCH,"3REN BHD","3REN"
99SMART,5326,"99 Speed Mart Retail Holdings Berhad","99SMART",29,MISMATCH,"99 SPEED MART RETAIL BHD","99SMART"
A1AKK,0365,"A1 A.K. Koh Group Berhad","A1AKK",36,MISMATCH,"A1 A K KOH BHD","A1AKK"
AAX,5238,"AirAsia X Berhad","AAX",23,MISMATCH,"AIRASIA X BHD","AAX"
ABLEGLOB,7167,"Able Global Berhad","ABLEGLOB",53,MISMATCH,"ABLE GLOBAL BHD","ABLEGLOB"
ABLEGRP,7086,"AbleGroup Berhad","ABLEGRP",50,MISMATCH,"ABLE BHD","ABLEGRP"
ABMB,2488,"Alliance Bank Malaysia Berhad","ABMB",15,MISMATCH,"ALLIANCE BANK MALAYSIA BHD","ABMB"
ACME,7131,"ACME Holdings Berhad","ACME",50,MISMATCH,"ACME BHD","ACME"
ACO,0218,"ACO Group Berhad","ACO",43,MISMATCH,"ACO BHD","ACO"
ADB,0276,"Autocount Dotcom Berhad","ADB",15,MISMATCH,"AUTOCOUNT DOTCOM BHD","ADB"
ADVCON,5281,"Advancecon Holdings Berhad","ADVCON",43,MISMATCH,"ADVANCECON BHD","ADVCON"
ADVENTA,7191,"Adventa Berhad","ADVENTA",64,MISMATCH,"ADVENTA BHD","ADVENTA"
ADVPKG,9148,"Advance Packaging Group Berhad","GBAY",10,MISMATCH,"ADVANCE PACKAGING BHD","GBAY"
AEM,7146,"AE Multi Holdings Berhad","AEM",25,MISMATCH,"AE MULTI BHD","AEM"
AEMULUS,0181,"Aemulus Holdings Berhad","AEMULUS",64,MISMATCH,"AEMULUS BHD","AEMULUS"
AEON,6599,"Aeon Co. (M) Bhd","AEON",36,MISMATCH,"AEON CO BHD","AEON"
AEONCR,5139,"AEON Credit Service","AEONCR",32,MISMATCH,"AEON CREDIT SERVICE","AEONCR"
AFFIN,5185,"AFFIN Bank Berhad","AFFIN",36,MISMATCH,"AFFIN BANK BHD","AFFIN"
AFUJIYA,5198,"ABM Fujiya Berhad","AFUJIYA",50,MISMATCH,"ABM FUJIYA BHD","AFUJIYA"
AGES,7145,"Ages International Holdings Berhad","TXCD",15,MISMATCH,"AGES INTL BHD","TXCD"
AGMO,0258,"AGMO Holdings Berhad","AGMO",50,MISMATCH,"AGMO BHD","AGMO"
AGRICOR,0309,"Agricore CS Holdings Berhad","AGRICOR",47,MISMATCH,"AGRICORE CS BHD","AGRICOR"
AGX,0299,"AGX Group Berhad","AGX",43,MISMATCH,"AGX BHD","AGX"
AHB,7315,"AHB Holdings Berhad","AHB",43,MISMATCH,"AHB BHD","AHB"
AHEALTH,7090,"Apex Healthcare Berhad","AHEALTH",37,MISMATCH,"APEX HEALTHCARE BHD","AHEALTH"
AIM,0122,"Advance Information Marketing Berhad","AIM",9,MISMATCH,"ADVANCE INFORMATION MARKETING BHD","AIM"
AIMFLEX,0209,"Aimflex Berhad","AIMFLEX",64,MISMATCH,"AIMFLEX BHD","AIMFLEX"
AIZO,7219,"Aizo Group Berhad","AIZO",50,MISMATCH,"AIZO BHD","AIZO"
AJI,2658,"Ajinomoto (Malaysia) Berhad","AJI",23,MISMATCH,"AJINOMOTO BHD","AJI"
AJIYA,7609,"Ajiya Berhad","AJIYA",56,MISMATCH,"AJIYA BHD","AJIYA"
AKMSB,0291,"AKM Services Berhad","CHB",13,MISMATCH,"AKM SERVICES BHD","CHB"
ALAM,5115,"Alam Maritim Resources Berhad","ALAM",15,MISMATCH,"ALAM MARITIM RESOURCES BHD","ALAM"
ALAQAR,5116,"Al-'Aqar Healthcare REIT","ALAQAR",26,MISMATCH,"AL AQAR HEALTHCARE REIT","ALAQAR"
ALCOM,2674,"Alcom Group Berhad","ALCOM",56,MISMATCH,"ALCOM BHD","ALCOM"
ALLIANZ,1163,"Allianz Malaysia Berhad","ALLIANZ",35,MISMATCH,"ALLIANZ MALAYSIA BHD","ALLIANZ"
ALPHA,0303,"Alpha IVF Group Berhad","ALPHA",38,MISMATCH,"ALPHA IVF BHD","ALPHA"
ALRICH,0079,"Aldrich Resources Berhad","ALRICH",29,MISMATCH,"ALDRICH RESOURCES BHD","ALRICH"
ALSREIT,5269,"Al-Salam Real Estate Investment Trust","ALSREIT",19,MISMATCH,"AL SALAM REAL ESTATE INVESTMENT TRUST","ALSREIT"
AMBANK,1015,"AMMB Holdings Berhad","AMBANK",38,MISMATCH,"AMMB BHD","AMBANK"
AME,5293,"AME Elite Consortium Berhad","AME",13,MISMATCH,"AME ELITE CONSORTIUM BHD","AME"
AMEDIA,0159,"Asia Media Group Berhad","MMM",7,MISMATCH,"ASIA MEDIA BHD","MMM"
AMEREIT,5307,"AME Real Estate Investment Trust","AMEREIT",22,MISMATCH,"AME REAL ESTATE INVESTMENT TRUST","AMEREIT"
AMLEX,03011,"Amlex Holdings Berhad","AMLEX",56,MISMATCH,"AMLEX BHD","AMLEX"
AMTEL,7031,"Amtel Holdings Berhad","AMTEL",56,MISMATCH,"AMTEL BHD","AMTEL"
AMWAY,6351,"Amway (Malaysia) Holdings Berhad","AMWAY",56,MISMATCH,"AMWAY BHD","AMWAY"
ANALABS,7083,"Analabs Resources","ANALABS",41,MISMATCH,"ANALABS RESOURCES","ANALABS"
ANCOMLB,0048,"Ancom Logistics Berhad","ANCOMLB",37,MISMATCH,"ANCOM LOGISTICS BHD","ANCOMLB"
ANCOMNY,4758,"Ancom Nylex Berhad","ANCOMNY",47,MISMATCH,"ANCOM NYLEX BHD","ANCOMNY"
ANEKA,0226,"Aneka Jaringan Holdings Berhad","ANEKA",28,MISMATCH,"ANEKA JARINGAN BHD","ANEKA"
ANNJOO,6556,"Ann Joo Resources Berhad","ANNJOO",29,MISMATCH,"ANN JOO RESOURCES BHD","ANNJOO"
AORB,0377,"Alpha Ocean Resources Berhad","POWER",16,MISMATCH,"ALPHA OCEAN RESOURCES BHD","POWER"
APB,5568,"APB Resources Berhad","APB",18,MISMATCH,"APB RESOURCES BHD","APB"
APEX,5088,"Apex Equity Holdings Berhad","APEX",27,MISMATCH,"APEX EQUITY BHD","APEX"
APM,5015,"APM Automotive Holdings Berhad","APM",17,MISMATCH,"APM AUTOMOTIVE BHD","APM"
APOLLO,6432,"Apollo Food Holdings","APOLLO",55,MISMATCH,"APOLLO FOOD","APOLLO"
APPASIA,0119,"AppAsia Berhad","APPASIA",64,MISMATCH,"APPASIA BHD","APPASIA"
AQUAWALK,0380,"Aquawalk Group Berhad","AQUAWALK",67,MISMATCH,"AQUAWALK BHD","AQUAWALK"
ARANK,7214,"Arank Industries","ARANK",31,MISMATCH,"ARANK INDUSTRIES","ARANK"
ARBB,7181,"ARB Berhad","ARBB",57,MISMATCH,"ARB BHD","ARBB"
ARK,7007,"Ark Resources Holdings Berhad","ARK",18,MISMATCH,"ARK RESOURCES BHD","ARK"
ARKA,7218,"Arka Berhad","ARKA",50,MISMATCH,"ARKA BHD","ARKA"
ARMADA,5210,"Bumi Armada Berhad","ARMADA",40,MISMATCH,"BUMI ARMADA BHD","ARMADA"
ARTRONIQ,0038,"Artroniq Berhad","ARTRONIQ",67,MISMATCH,"ARTRONIQ BHD","ARTRONIQ"
ASB,1481,"Advance Synergy Berhad","ASB",16,MISMATCH,"ADVANCE SYNERGY BHD","ASB"
ASDION,0068,"Asdion Berhad","ASDION",60,MISMATCH,"ASDION BHD","ASDION"
ASIABRN,7203,"Asia Brands Berhad","WANGZNG",13,MISMATCH,"ASIA BRANDS BHD","WANGZNG"
ASIAFLE,7129,"Asia File Corporation Berhad","ASIAFLE",39,MISMATCH,"ASIA FILE CORP BHD","ASIAFLE"
ASIAPAC,0361,"Asia Pacific Higher Learning Sdn Bhd","PMIBHD",11,MISMATCH,"ASIA PACIFIC HIGHER LEARNING","PMIBHD"
